Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#144 Meyer, Andre
Division Production Optics Class U Category S. Senior Factor Minor Squad 36
Stage Factor PTS A C D Ded. MI NS PE Time
16 5.8175 58 11 1 0 0 0 0 0 9.97
17 4.7319 60 12 0 0 0 0 0 0 12.68
18 2.7027 37 4 5 2 0 0 0 0 13.69
19 4.1280 40 5 5 0 0 0 0 0 9.69
#509 Schürmann, Heinz
Division Optics Class U Category S. Senior Factor Minor Squad 28
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.1313 108 18 6 0 0 0 0 0 34.49
2 6.2429 55 11 0 0 0 0 0 0 8.81
3 3.1336 114 21 3 0 0 0 0 0 36.38
4 3.6518 145 26 5 0 0 1 1 0 34.23
5 3.5503 114 21 3 0 0 0 0 0 32.11
6 4.4410 58 11 1 0 0 0 0 0 13.06
7 3.4832 148 26 6 0 0 0 0 0 42.49
8 2.6190 55 11 0 0 0 0 0 0 21.00
9 2.1789 106 20 2 0 0 2 1 0 34.88
10 3.0005 113 22 1 0 0 0 0 0 37.66
11 2.6961 32 5 2 1 0 1 0 0 8.16
12 4.5125 56 10 2 0 0 0 0 0 12.41
13 4.4356 156 30 2 0 0 0 0 0 35.17
14 3.9867 108 18 6 0 0 0 0 0 27.09
15 1.9514 110 19 5 0 0 0 0 0 56.37
16 3.2864 56 10 2 0 0 0 0 0 17.04
17 3.3030 58 11 1 0 0 0 0 0 17.56
18 2.0843 53 10 1 0 0 0 0 1 20.63
19 3.6778 42 6 4 0 0 0 0 0 11.42
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 46 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#512 Jonkers, Chris
Division Open Class U Category S. Senior Factor Major Squad 37
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.9338 104 12 11 0 0 1 0 0 32.04
2 2.9126 47 7 3 0 0 1 1 0 9.27
3 2.7909 112 18 5 1 0 0 0 0 40.13
4 0.0000 34 6 1 0 0 25 0 9 9.88
5 3.2613 102 14 7 2 0 1 0 0 28.21
6 4.1699 53 7 4 1 0 0 0 0 12.71
7 2.9638 141 21 8 2 0 1 0 0 44.20
8 3.3801 53 9 2 0 0 0 0 0 15.68
9 2.9165 101 11 10 3 0 0 0 0 34.63
10 3.2167 102 16 4 3 0 0 0 0 31.71
11 4.8495 39 7 1 0 0 1 0 0 5.98
12 1.9944 53 9 2 0 0 1 0 0 21.56
13 1.9441 123 21 3 3 0 5 0 0 37.55
14 4.5113 102 14 6 4 0 0 0 0 22.61
15 1.7885 100 16 4 2 0 2 0 0 44.73
16 5.5766 59 11 1 0 0 0 0 0 10.58
17 1.8662 53 7 4 1 0 0 0 0 28.40
18 3.3984 47 5 5 1 0 0 0 0 13.83
19 4.4148 43 3 7 0 0 0 0 0 9.74
#513 Reppe, Jens
Division Production Class U Category S. Senior Factor Minor Squad 32
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.2106 102 17 5 2 0 0 0 0 31.77
2 5.5305 49 9 1 1 0 0 0 0 8.86
3 3.1471 99 16 6 1 0 1 0 0 28.28
4 3.8270 138 22 9 1 0 0 0 0 36.06
5 3.7736 100 16 6 2 0 0 0 0 26.50
6 4.7710 50 7 5 0 0 0 0 0 10.48
7 3.8835 128 19 10 3 0 0 0 0 32.96
8 3.6823 51 9 2 0 0 0 0 0 13.85
9 2.1340 92 14 7 1 0 2 0 0 33.74
10 3.2988 105 20 1 2 0 0 0 0 31.83
11 4.4360 35 5 3 1 0 0 0 0 7.89
12 3.8889 56 10 2 0 0 0 0 0 14.40
13 3.9174 139 24 6 1 0 1 0 0 32.93
14 3.3107 93 13 9 1 0 1 0 0 25.07
15 2.6294 94 11 13 0 0 0 0 0 35.75
16 5.1282 54 9 3 0 0 0 0 0 10.53
17 4.1921 48 7 4 1 0 0 0 0 11.45
18 3.7308 51 9 2 0 0 0 0 0 13.67
19 4.1136 42 6 4 0 0 0 0 0 10.21
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 47 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#514 Martinsson, Per
Division Production Optics Class U Category Factor Minor Squad 33
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.5523 94 12 11 1 0 0 0 0 36.83
2 1.2766 44 8 1 1 0 1 1 0 18.80
3 3.3680 110 19 5 0 0 0 0 0 32.66
4 4.6011 154 29 3 0 0 0 0 0 33.47
5 3.8719 110 19 5 0 0 0 0 0 28.41
6 4.4665 54 10 1 1 0 0 0 0 12.09
7 3.6902 132 19 12 1 0 0 0 0 35.77
8 4.4688 53 10 1 0 0 0 0 0 11.86
9 2.8924 96 13 10 1 0 0 0 0 33.19
10 3.8106 103 18 4 1 0 0 0 0 27.03
11 3.2020 36 7 0 1 0 1 0 0 8.12
12 1.9011 50 8 3 1 0 0 1 0 21.04
13 4.0633 136 20 12 0 0 0 0 0 33.47
14 3.1418 92 11 12 1 0 0 1 0 26.10
15 2.0671 91 14 7 0 0 3 0 0 29.51
16 4.3991 56 10 2 0 0 0 0 0 12.73
17 4.7847 60 12 0 0 0 0 0 0 12.54
18 3.3865 51 9 2 0 0 0 0 0 15.06
19 4.5098 46 8 2 0 0 0 0 0 10.20
#515 Sundén, Caisa
Division Production Optics Class U Category Lady Factor Minor Squad 33
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.2602 110 19 5 0 0 0 0 0 33.74
2 4.9395 49 9 1 1 0 0 0 0 9.92
3 2.7805 104 19 3 0 0 2 0 0 30.21
4 3.8439 139 26 2 3 0 1 0 0 33.56
5 3.8517 106 17 7 0 0 0 0 0 27.52
6 4.1018 58 11 1 0 0 0 0 0 14.14
7 3.8492 146 26 5 1 0 0 0 0 37.93
8 3.6628 53 10 1 0 0 0 0 0 14.47
9 2.6659 98 15 7 2 0 0 0 0 36.76
10 3.3396 107 19 4 0 0 0 0 0 32.04
11 3.1250 33 5 2 2 0 0 0 0 10.56
12 0.8012 41 8 0 1 0 3 0 0 13.73
13 3.7317 138 22 9 1 0 0 0 0 36.98
14 3.8947 108 20 2 2 0 0 0 0 27.73
15 2.3676 110 20 3 1 0 0 0 0 46.46
16 3.8217 54 9 3 0 0 0 0 0 14.13
17 4.0846 56 10 2 0 0 0 0 0 13.71
18 2.8539 51 9 2 0 0 0 0 0 17.87
19 3.8973 44 7 3 0 0 0 0 0 11.29
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 48 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#516 Denwood, Dorothea
Division Optics Class U Category Lady Senior Factor Minor Squad 33
Stage Factor PTS A C D Ded. MI NS PE Time
1 4.0582 106 19 3 2 0 0 0 0 26.12
2 7.2848 55 11 0 0 0 0 0 0 7.55
3 4.3956 104 16 8 0 0 0 0 0 23.66
4 4.5012 134 21 9 2 0 0 0 0 29.77
5 3.5780 107 19 4 0 0 1 0 0 27.11
6 5.2798 50 7 5 0 0 0 0 0 9.47
7 4.2179 137 23 7 1 0 1 0 0 30.11
8 3.7405 49 8 3 0 0 0 0 0 13.10
9 2.9373 99 17 4 2 0 1 0 0 30.30
10 4.3810 109 20 3 0 0 0 0 0 24.88
11 2.6786 40 8 0 0 0 1 0 0 11.20
12 4.3178 50 9 1 2 0 0 0 0 11.58
13 5.2450 152 28 4 0 0 0 0 0 28.98
14 4.8113 102 16 7 1 0 0 0 0 21.20
15 2.9300 100 15 8 1 0 0 0 0 34.13
16 5.3846 56 10 2 0 0 0 0 0 10.40
17 2.8957 58 11 1 0 0 0 0 0 20.03
18 3.8202 51 9 2 0 0 0 0 0 13.35
19 5.2632 44 7 3 0 0 0 0 0 8.36
#517 Denwood, Demi
Division Production Optics Class U Category Lady Factor Minor Squad 33
Stage Factor PTS A C D Ded. MI NS PE Time
1 4.2789 108 18 6 0 0 0 0 0 25.24
2 6.2583 47 7 4 0 0 0 0 0 7.51
3 5.3671 106 17 7 0 0 0 0 0 19.75
4 4.8986 136 23 7 0 0 2 0 0 23.68
5 4.2009 92 14 6 4 0 0 0 0 21.90
6 6.1200 50 8 3 1 0 0 0 0 8.17
7 5.0297 144 24 8 0 0 0 0 0 28.63
8 5.4082 53 10 1 0 0 0 0 0 9.80
9 3.0365 104 17 6 1 0 0 0 0 34.25
10 4.5792 105 18 5 0 0 0 0 0 22.93
11 4.7566 43 8 1 0 0 0 0 0 9.04
12 4.6624 58 11 1 0 0 0 0 0 12.44
13 4.4973 133 21 9 1 0 1 0 0 27.35
14 5.2773 98 14 9 1 0 0 0 0 18.57
15 1.7863 89 14 6 1 0 3 0 0 33.03
16 5.9134 56 10 2 0 0 0 0 0 9.47
17 3.4050 38 5 3 4 0 0 0 0 11.16
18 3.2192 47 7 4 0 0 0 0 0 14.60
19 5.0273 46 8 2 0 0 0 0 0 9.15
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 49 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#519 Schulz, Mikkel
Division Production Class U Category Factor Minor Squad 39
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.9116 108 19 4 1 0 0 0 0 27.61
2 5.8965 49 8 3 0 0 0 0 0 8.31
3 4.0304 116 22 2 0 0 0 1 0 26.30
4 5.1867 150 27 5 0 0 0 0 0 28.92
5 4.1649 100 15 8 1 0 0 0 0 24.01
6 4.3154 52 8 4 0 0 0 0 0 12.05
7 4.3414 146 26 5 1 0 0 0 0 33.63
8 3.6930 51 10 0 1 0 0 0 0 13.81
9 3.3087 94 13 9 2 0 0 0 0 28.41
10 4.5122 111 21 2 0 0 0 0 0 24.60
11 0.7650 27 4 2 1 0 2 0 0 9.15
12 4.5886 58 11 1 0 0 0 0 0 12.64
13 3.4133 131 23 5 1 0 3 0 0 29.59
14 4.2265 100 15 8 1 0 0 0 0 23.66
15 2.1545 95 16 5 0 0 3 0 0 30.17
16 4.5455 56 10 2 0 0 0 0 0 12.32
17 3.9492 56 10 2 0 0 0 0 0 14.18
18 3.3175 49 8 3 0 0 0 0 0 14.77
19 4.5954 46 8 2 0 0 0 0 0 10.01
#520 Bagger, Christian
Division Optics Class U Category Senior Factor Minor Squad 39
Stage Factor PTS A C D Ded. MI NS PE Time
1 4.7720 112 20 4 0 0 0 0 0 23.47
2 7.0385 53 10 1 0 0 0 0 0 7.53
3 5.8552 114 21 3 0 0 0 0 0 19.47
4 6.1500 146 26 5 1 0 0 0 0 23.74
5 5.1595 110 19 5 0 0 0 0 0 21.32
6 6.5728 56 10 2 0 0 0 0 0 8.52
7 4.8240 148 26 6 0 0 0 0 0 30.68
8 5.6263 53 10 1 0 0 0 0 0 9.42
9 3.8719 104 17 6 1 0 0 0 0 26.86
10 5.1942 111 21 2 0 0 0 0 0 21.37
11 5.6277 39 7 1 1 0 0 0 0 6.93
12 5.5391 56 10 2 0 0 0 0 0 10.11
13 5.3179 143 25 6 0 0 1 0 0 25.01
14 5.2140 106 18 5 1 0 0 0 0 20.33
15 2.5300 96 17 3 2 0 2 0 0 30.04
16 5.4737 52 8 4 0 0 0 0 0 9.50
17 5.5662 58 11 1 0 0 0 0 0 10.42
18 2.5157 42 6 4 0 0 1 0 0 12.72
19 5.5491 48 9 1 0 0 0 0 0 8.65
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 50 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#521 Böttcher, Göksel
Division Standard Class U Category Factor Minor Squad 35
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.8754 108 18 6 0 0 0 0 0 37.56
2 1.3300 41 8 0 1 0 2 0 0 15.79
3 3.4450 110 19 5 0 0 0 0 0 31.93
4 3.8835 144 25 6 1 0 0 0 0 37.08
5 3.4806 104 17 6 1 0 0 0 0 29.88
6 3.6630 50 7 5 0 0 0 0 0 13.65
7 3.6604 144 24 8 0 0 0 0 0 39.34
8 3.4700 55 11 0 0 0 0 0 0 15.85
9 2.1623 95 14 8 1 0 1 0 0 39.31
10 2.6443 109 20 3 0 0 0 0 0 41.22
11 2.0747 30 4 3 1 0 1 0 0 9.64
12 2.7027 51 9 2 0 0 1 0 0 15.17
13 3.5225 144 26 4 2 0 0 0 0 40.88
14 3.7993 106 18 5 1 0 0 0 0 27.90
15 1.0344 92 16 4 0 0 4 0 0 50.27
16 4.5234 56 10 2 0 0 0 0 0 12.38
17 3.6530 56 10 2 0 0 0 0 0 15.33
18 2.9565 51 9 2 0 0 0 0 0 17.25
19 4.1276 44 7 3 0 0 0 0 0 10.66
#522 Erfort, Claudia
Division Production Optics Class U Category Lady Factor Minor Squad 39
Stage Factor PTS A C D Ded. MI NS PE Time
1 1.5142 96 14 8 2 0 0 0 0 63.40
2 2.9518 49 8 3 0 0 0 0 0 16.60
3 1.2718 95 15 6 2 0 1 1 0 58.97
4 2.5724 145 26 5 0 0 1 0 0 52.48
5 0.2579 69 7 11 1 0 5 0 1 34.90
6 3.0713 50 8 3 1 0 0 0 0 16.28
7 1.9104 103 11 14 6 0 1 0 0 48.68
8 1.9186 49 8 3 0 0 0 0 0 25.54
9 1.9391 98 13 11 0 0 0 0 0 50.54
10 1.6032 98 18 2 2 0 1 0 0 54.89
11 4.2286 37 6 2 1 0 0 0 0 8.75
12 0.8447 38 6 2 2 0 2 0 0 21.31
13 2.3269 129 21 7 3 0 1 0 0 51.14
14 2.1623 91 14 6 3 0 1 0 0 37.46
15 1.4682 92 14 7 1 0 2 0 0 49.04
16 2.0739 56 10 2 0 0 0 1 0 22.18
17 0.7493 51 9 2 0 0 1 0 0 54.72
18 2.0703 43 5 6 0 0 0 0 0 20.77
19 1.2158 28 3 3 4 0 0 0 0 23.03
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 51 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#523 Erfort, Karsten
Division Production Optics Class U Category Senior Factor Minor Squad 39
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.3470 90 13 7 4 0 0 0 0 26.89
2 5.1095 49 8 3 0 0 0 0 0 9.59
3 3.7915 104 17 6 1 0 0 0 0 27.43
4 4.6022 140 23 8 1 0 0 0 0 30.42
5 2.5224 82 11 8 3 0 2 0 0 24.58
6 3.7037 48 7 4 1 0 0 0 0 12.96
7 4.0532 128 19 10 3 0 0 0 0 31.58
8 2.1619 51 9 2 0 0 0 0 0 23.59
9 2.0045 73 6 13 4 0 1 0 0 31.43
10 3.7896 103 17 6 0 0 0 0 0 27.18
11 4.0789 31 4 3 2 0 0 0 0 7.60
12 2.8386 48 9 0 3 0 0 0 0 16.91
13 4.1682 127 20 8 3 0 1 0 0 28.07
14 3.7820 102 17 5 2 0 0 0 0 26.97
15 2.0435 82 11 8 3 0 2 0 0 30.34
16 2.9412 46 8 1 3 0 0 1 0 12.24
17 3.2648 54 9 3 0 0 0 0 0 16.54
18 3.4023 51 9 2 0 0 0 0 0 14.99
19 3.3363 38 4 6 0 0 0 0 0 11.39
#527 Kahl, Michael
Division Standard Class U Category Factor Major Squad 26
Stage Factor PTS A C D Ded. MI NS PE Time
1 4.4682 113 17 7 0 0 0 0 0 25.29
2 7.5036 52 8 3 0 0 0 0 0 6.93
3 4.7308 116 20 4 0 0 0 0 0 24.52
4 6.0380 156 28 4 0 0 0 1 0 24.18
5 4.7214 110 18 5 0 0 1 0 0 21.18
6 6.4103 55 7 5 0 0 0 0 0 8.58
7 4.9174 147 25 5 1 0 1 0 0 27.86
8 4.8758 53 9 2 0 0 0 0 0 10.87
9 4.3364 115 19 5 0 0 0 0 0 26.52
10 5.6338 108 16 7 0 0 0 0 0 19.17
11 5.9420 41 7 1 1 0 0 0 0 6.90
12 5.9748 57 9 3 0 0 0 0 0 9.54
13 6.0950 145 21 9 2 0 0 0 0 23.79
14 3.2134 90 10 9 2 0 3 0 1 15.56
15 3.1143 110 18 5 0 0 1 0 0 32.11
16 7.2802 53 7 4 1 0 0 0 0 7.28
17 5.6147 58 10 2 0 0 0 0 0 10.33
18 4.9275 51 7 4 0 0 0 0 0 10.35
19 6.2319 43 7 1 2 0 0 0 0 6.90
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 52 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#528 Kahl, Nicolas
Division Production Class U Category Junior Factor Minor Squad 26
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.3904 103 17 6 0 0 1 0 0 27.43
2 8.0916 53 10 1 0 0 0 0 0 6.55
3 4.5336 104 16 8 0 0 0 0 0 22.94
4 5.7506 154 29 3 0 0 0 0 0 26.78
5 5.2045 112 20 4 0 0 0 0 0 21.52
6 7.0000 56 10 2 0 0 0 0 0 8.00
7 4.6554 139 23 8 0 0 1 0 0 27.71
8 6.6425 55 11 0 0 0 0 0 0 8.28
9 4.0800 104 17 6 1 0 0 0 0 25.49
10 4.8556 111 21 2 0 0 0 0 0 22.86
11 6.6427 37 5 4 0 0 0 0 0 5.57
12 3.9971 56 10 2 0 0 0 0 0 14.01
13 5.1098 145 27 3 1 0 1 0 0 26.42
14 3.8462 81 10 9 4 0 1 0 0 18.46
15 2.2436 93 16 4 1 0 3 0 0 28.08
16 4.6512 52 8 4 0 0 0 1 0 9.03
17 6.1920 60 12 0 0 0 0 0 0 9.69
18 4.0452 43 5 6 0 0 0 0 0 10.63
19 6.1617 48 9 1 0 0 0 0 0 7.79
#529 Langkjær, Finn
Division Production Optics Class U Category Senior Factor Minor Squad 39
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.8768 112 20 4 0 0 0 0 0 28.89
2 5.2684 53 10 1 0 0 0 0 0 10.06
3 4.5084 116 22 2 0 0 0 0 0 25.73
4 5.2111 158 31 1 0 0 0 0 0 30.32
5 4.6745 112 20 4 0 0 0 0 0 23.96
6 4.9743 58 11 1 0 0 0 0 0 11.66
7 4.6675 146 25 7 0 0 0 0 0 31.28
8 5.2320 53 10 1 0 0 0 0 0 10.13
9 3.6077 110 19 5 0 0 0 0 0 30.49
10 4.5269 111 22 0 1 0 0 0 0 24.52
11 5.8140 45 9 0 0 0 0 0 0 7.74
12 5.1327 58 11 1 0 0 0 0 0 11.30
13 4.9130 144 26 4 2 0 0 0 0 29.31
14 4.8246 110 19 5 0 0 0 0 0 22.80
15 2.7490 95 14 8 1 0 1 0 0 30.92
16 5.7143 58 11 1 0 0 0 0 0 10.15
17 4.5627 60 12 0 0 0 0 0 0 13.15
18 3.8651 55 11 0 0 0 0 0 0 14.23
19 4.6653 46 8 2 0 0 0 0 0 9.86
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 53 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#533 Sjøholm, Lotte Høst
Division Production Optics Class U Category S. Senior Factor Minor Squad 41
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.2074 106 18 5 1 0 0 0 0 48.02
2 0.9237 43 8 1 0 0 2 0 0 24.90
3 1.5585 104 17 6 1 0 0 0 0 66.73
4 2.9016 140 23 8 1 0 0 0 0 48.25
5 2.0732 98 15 7 2 0 0 0 0 47.27
6 2.4375 49 8 3 0 0 1 0 0 16.00
7 2.0574 134 21 9 2 0 0 0 0 65.13
8 0.8242 44 7 3 0 0 1 0 0 41.25
9 1.4992 87 11 10 2 0 1 0 0 51.36
10 1.9549 111 21 2 0 0 0 0 0 56.78
11 0.6173 33 6 1 0 0 2 0 0 21.06
12 1.1041 56 10 2 0 0 0 0 0 50.72
13 1.5680 133 23 6 0 0 3 0 0 65.69
14 2.2053 104 16 8 0 0 0 0 0 47.16
15 0.8365 89 14 6 1 0 3 0 0 70.53
16 1.7128 54 10 1 1 0 0 2 0 19.85
17 0.4027 39 7 1 1 0 3 0 0 22.35
18 2.1369 49 8 3 0 0 0 0 0 22.93
19 3.4029 44 7 3 0 0 0 0 0 12.93
#534 Dyrholm Sjøholm, Claus
Division Production Optics Class U Category Senior Factor Minor Squad 41
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.8136 90 12 9 3 0 0 0 0 23.60
2 4.9345 49 9 1 1 0 0 0 0 9.93
3 4.7680 112 20 4 0 0 0 0 0 23.49
4 5.6140 144 25 6 1 0 0 0 0 25.65
5 4.7138 98 15 7 2 0 0 0 0 20.79
6 5.2632 54 9 3 0 0 0 0 0 10.26
7 4.4318 140 23 8 1 0 0 0 0 31.59
8 3.4456 45 7 3 1 0 0 0 0 13.06
9 3.4021 94 12 11 1 0 0 0 0 27.63
10 4.6419 105 18 5 0 0 0 0 0 22.62
11 4.0724 37 5 4 0 0 0 1 0 6.63
12 3.6709 58 11 1 0 0 0 0 0 15.80
13 4.3348 130 20 9 3 0 0 0 0 29.99
14 4.5977 92 12 10 2 0 0 0 0 20.01
15 1.9914 80 10 9 3 0 2 0 0 30.13
16 4.7337 48 6 6 0 0 0 0 0 10.14
17 4.1237 52 9 2 1 0 0 0 0 12.61
18 3.8057 47 7 4 0 0 0 0 0 12.35
19 3.6802 39 6 3 0 0 1 0 0 7.88
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 54 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#538 CANDELIER, Xavier
Division Optics Class U Category Senior Factor Minor Squad 34
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.7517 110 19 5 0 0 0 0 0 29.32
2 5.1843 45 8 1 2 0 0 0 0 8.68
3 4.1911 103 17 6 0 0 1 0 0 22.19
4 4.2658 133 20 11 0 0 1 1 0 26.49
5 2.0366 99 18 3 0 0 3 0 1 28.97
6 5.2632 48 7 4 1 0 0 0 0 9.12
7 4.9110 138 21 11 0 0 0 0 0 28.10
8 4.5757 55 11 0 0 0 0 0 0 12.02
9 3.4253 118 23 1 0 0 0 0 0 34.45
10 5.3707 113 22 1 0 0 0 0 0 21.04
11 3.3149 40 8 0 0 0 1 0 0 9.05
12 3.7622 50 8 3 1 0 0 0 0 13.29
13 4.5099 144 26 4 2 0 0 0 0 31.93
14 4.8469 114 21 3 0 0 0 0 0 23.52
15 1.8114 78 9 10 3 0 2 0 0 32.02
16 5.3625 54 9 3 0 0 0 0 0 10.07
17 5.3715 60 12 0 0 0 0 0 0 11.17
18 2.8816 37 4 5 2 0 0 0 0 12.84
19 0.0000 30 4 3 1 0 2 0 1 7.94
#539 Goihl, Andreas
Division Production Optics Class U Category S. Senior Factor Minor Squad 35
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.9754 92 12 10 2 0 0 0 0 30.92
2 2.9310 44 8 1 1 0 1 0 0 11.60
3 3.0365 104 17 6 1 0 0 0 0 34.25
4 2.5042 134 24 4 2 0 2 0 1 41.53
5 3.1190 98 13 11 0 0 0 0 0 31.42
6 3.3693 50 8 3 1 0 0 0 0 14.84
7 3.1528 124 15 16 1 0 0 0 0 39.33
8 1.2940 42 7 2 1 0 1 0 0 24.73
9 2.1593 87 12 8 3 0 1 0 0 35.66
10 2.6753 103 18 4 1 0 0 0 0 38.50
11 3.2333 38 7 1 0 0 1 0 0 8.66
12 2.1483 41 6 3 2 0 1 0 0 14.43
13 3.2672 127 20 8 3 0 1 0 0 35.81
14 3.1997 97 14 9 0 0 1 0 0 27.19
15 1.8275 88 14 5 3 0 2 0 0 37.21
16 5.3305 50 7 5 0 0 0 0 0 9.38
17 3.4864 51 9 2 0 0 1 0 0 11.76
18 1.6915 44 7 3 0 0 1 0 0 20.10
19 2.7907 30 2 6 2 0 0 0 0 10.75
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 55 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#540 Mortensen, Ole
Division Open Class U Category S. Senior Factor Major Squad 39
Stage Factor PTS A C D Ded. MI NS PE Time
1 4.9747 118 22 2 0 0 0 0 0 23.72
2 6.6050 50 8 2 1 0 0 0 0 7.57
3 4.1649 109 19 3 1 0 1 0 0 23.77
4 4.2517 152 26 5 1 0 0 0 0 35.75
5 5.6061 117 21 3 0 0 0 0 0 20.87
6 6.4858 55 7 5 0 0 0 0 0 8.48
7 5.0049 154 26 6 0 0 0 0 0 30.77
8 4.1096 54 10 1 0 0 0 0 0 13.14
9 3.3704 110 18 5 0 0 1 0 0 29.67
10 3.7629 113 21 2 0 0 0 0 0 30.03
11 2.3256 32 4 3 0 0 2 0 0 5.16
12 5.8468 58 10 2 0 0 0 0 0 9.92
13 5.6545 146 22 8 2 0 0 0 0 25.82
14 6.4407 114 18 6 0 0 0 0 0 17.70
15 2.9293 104 14 8 1 0 1 0 0 32.09
16 7.1713 54 8 3 1 0 0 0 0 7.53
17 1.3499 43 7 2 0 0 3 0 0 9.63
18 3.9702 48 6 4 1 0 0 0 0 12.09
19 5.4224 43 5 4 1 0 0 0 0 7.93
#541 Ripperger, Michael
Division Production Class U Category Factor Minor Squad 35
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.5450 99 15 8 0 0 1 0 0 34.97
2 1.7192 34 3 6 1 0 1 0 0 13.96
3 3.0425 106 17 7 0 0 0 0 0 34.84
4 3.4425 133 21 9 1 0 1 0 0 35.73
5 1.6181 85 12 8 1 0 3 0 0 33.99
6 3.3573 56 10 2 0 0 0 0 0 16.68
7 3.4549 126 17 13 2 0 0 0 0 36.47
8 0.6119 41 7 2 0 0 2 0 0 34.32
9 3.3426 96 14 8 2 0 0 0 0 28.72
10 2.9148 91 16 2 5 0 0 0 0 31.22
11 4.6223 41 7 2 0 0 0 0 0 8.87
12 3.3715 50 7 5 0 0 0 0 0 14.83
13 1.5822 99 15 6 6 0 5 0 0 30.97
14 2.7360 81 8 13 2 0 1 0 0 25.95
15 1.3808 75 8 11 2 0 3 0 0 32.59
16 4.2419 54 9 3 0 0 0 0 0 12.73
17 4.3576 58 11 1 0 0 0 0 0 13.31
18 1.9892 37 4 5 2 0 0 0 0 18.60
19 3.2136 34 4 4 2 0 0 0 0 10.58
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 56 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#542 Poolman, Ronald
Division Open Class U Category Senior Factor Major Squad 38
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.8015 105 15 7 1 0 1 0 0 33.91
2 6.2275 52 8 3 0 0 0 0 0 8.35
3 2.9290 102 14 7 2 0 1 0 0 31.41
4 3.8748 150 24 7 1 0 0 2 0 33.55
5 3.8605 114 20 3 1 0 0 0 0 29.53
6 5.5451 59 11 1 0 0 0 0 0 10.64
7 3.8462 137 21 7 2 0 2 0 0 30.42
8 4.6778 53 9 2 0 0 0 0 0 11.33
9 2.3575 99 11 11 0 0 2 0 0 33.51
10 3.8970 109 19 3 1 0 0 0 0 27.97
11 5.6283 43 7 2 0 0 0 0 0 7.64
12 1.4085 43 7 2 0 0 3 0 0 9.23
13 2.6897 135 23 5 0 0 4 0 0 35.32
14 4.7989 105 13 9 2 0 0 0 0 21.88
15 1.9990 104 18 3 1 0 2 0 0 42.02
16 3.0493 44 6 2 3 0 1 0 0 11.15
17 4.5455 56 8 4 0 0 0 0 0 12.32
18 3.0751 52 8 3 0 0 0 0 0 16.91
19 3.5990 42 4 5 1 0 0 0 0 11.67
#545 STETTNISCH, Rainer
Division Production Optics Class U Category S. Senior Factor Minor Squad 35
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.2472 120 24 0 0 0 0 0 0 53.40
2 4.4992 53 10 1 0 0 0 0 0 11.78
3 3.4692 120 24 0 0 0 0 0 0 34.59
4 3.2745 154 29 3 0 0 0 0 0 47.03
5 2.9889 118 23 1 0 0 0 0 0 39.48
6 2.9455 60 12 0 0 0 0 0 0 20.37
