Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#144 Meyer, Andre
Division Production Optics Class U Category S. Senior Factor Minor Squad 36
Stage Factor PTS A C D Ded. MI NS PE Time
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 9 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#349 Schou, Michael
Division Production Optics Class U Category Factor Minor Squad 34
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.2175 93 14 7 2 0 1 1 0 32.92
2 7.0423 55 11 0 0 0 0 0 0 7.81
3 2.2121 112 21 2 1 0 0 2 0 41.59
4 3.6434 151 29 2 0 0 1 0 0 38.70
5 3.5374 99 16 6 1 0 1 0 0 25.16
6 4.1534 52 9 2 1 0 0 0 0 12.52
7 3.7166 150 27 5 0 0 0 0 0 40.36
8 4.4465 49 9 1 1 0 0 0 0 11.02
9 3.3733 104 18 4 2 0 0 0 0 30.83
10 3.9502 111 21 2 0 0 0 0 0 28.10
11 3.8366 31 4 3 2 0 0 0 0 8.08
12 3.0418 56 10 2 0 0 0 0 0 18.41
13 3.8330 134 20 11 1 0 0 0 0 34.96
14 2.8512 89 11 11 1 0 1 1 0 24.20
15 1.3253 82 14 3 3 0 4 0 0 31.69
16 3.3228 52 8 4 0 0 0 1 0 12.64
17 5.4665 58 11 1 0 0 0 0 0 10.61
18 0.8604 38 5 4 1 0 1 1 0 20.92
19 1.9495 27 2 5 2 0 1 0 0 8.72
#350 Schou, Freya
Division Production Class U Category S. Junior Factor Minor Squad 34
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.0688 88 13 7 2 0 2 0 0 32.87
2 3.2412 44 7 3 0 0 1 0 0 10.49
3 3.0141 96 15 6 3 0 0 0 0 31.85
4 4.7095 154 30 1 1 0 0 0 0 32.70
5 2.8522 82 10 9 5 0 0 0 0 28.75
6 4.3178 50 7 5 0 0 0 0 0 11.58
7 4.1679 142 24 7 1 0 0 0 0 34.07
8 4.3702 51 10 0 1 0 0 0 0 11.67
9 2.5986 97 15 7 1 0 1 0 0 33.48
10 3.5560 107 19 4 0 0 0 0 0 30.09
11 1.4245 35 7 0 0 0 2 0 0 10.53
12 2.4136 47 8 2 1 0 1 0 0 15.33
13 2.3635 117 19 6 4 0 3 0 0 36.81
14 3.3708 91 11 12 0 0 1 0 0 24.03
15 0.9966 72 10 6 4 0 4 0 0 32.11
16 2.4213 50 7 5 0 0 0 1 0 16.52
17 3.8435 56 10 2 0 0 0 0 0 14.57
18 3.0217 53 10 1 0 0 0 0 0 17.54
19 3.1359 36 4 5 1 0 0 0 0 11.48
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 10 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#352 Jansson, Göran
Division Open Class U Category Grand Senior Factor Major Squad 37
Stage Factor PTS A C D Ded. MI NS PE Time
1 1.6081 94 14 5 2 0 3 1 0 33.58
2 5.1307 53 9 2 0 0 0 0 0 10.33
3 1.3296 92 10 10 1 0 3 0 0 46.63
4 1.5709 130 24 2 1 0 5 1 0 44.56
5 4.0470 117 21 3 0 0 0 0 0 28.91
6 4.8133 58 10 2 0 0 0 0 0 12.05
7 3.9988 149 25 6 0 0 1 0 0 34.76
8 4.6980 49 7 3 1 0 0 0 0 10.43
9 2.5351 101 13 7 4 0 0 0 0 39.84
10 2.0072 106 14 9 0 0 0 0 0 52.81
11 3.7516 39 7 1 0 0 1 0 0 7.73
12 3.4591 55 7 5 0 0 0 0 0 15.90
13 2.1518 126 22 3 2 0 5 0 0 35.32
14 3.3775 102 8 15 1 0 0 0 0 30.20
15 1.9653 96 12 8 2 0 2 0 0 38.67
16 3.9474 54 8 3 1 0 0 0 0 13.68
17 2.7163 54 6 6 0 0 0 0 0 19.88
18 0.0000 29 3 3 1 0 4 1 0 26.10
19 4.8731 48 8 2 0 0 0 0 0 9.85
#353 Hoiss, Michael
Division Classic Class U Category Factor Minor Squad 28
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.0093 104 18 4 2 0 0 0 0 34.56
2 5.0725 49 8 3 0 0 0 0 0 9.66
3 2.9385 96 14 8 2 0 0 0 0 32.67
4 4.6465 140 22 10 0 0 0 0 0 30.13
5 4.2970 114 22 1 1 0 0 0 0 26.53
6 5.1639 52 9 2 1 0 0 0 0 10.07
7 4.8015 150 27 5 0 0 0 0 0 31.24
8 4.9180 51 9 2 0 0 0 0 0 10.37
9 3.5110 110 19 5 0 0 0 0 0 31.33
10 4.4525 111 21 2 0 0 0 0 0 24.93
11 5.3867 39 7 1 1 0 0 0 0 7.24
12 3.5398 48 8 2 2 0 0 0 0 13.56
13 5.1877 152 28 4 0 0 0 0 0 29.30
14 2.4032 84 10 11 1 0 2 0 1 22.47
